"სახეობები","2016 16 წლამდე ოქრო","2016 16 წლამდე ვერცხლი","2016 16 წლამდე ბრინჯაო","2016 16-22 წლის ოქრო","2016 16-22 წლის ვერცხლი","2016 16-22 წლის ბრინჯაო","2016 23 წლის და უფროსი ასაკის ოქრო","2016 23 წლის და უფროსი ასაკის ვერცხლი","2016 23 წლის და უფროსი ასაკის ბრინჯაო","2017 16 წლამდე ოქრო","2017 16 წლამდე ვერცხლი","2017 16 წლამდე ბრინჯაო","2017 16-22 წლის ოქრო","2017 16-22 წლის ვერცხლი","2017 16-22 წლის ბრინჯაო","2017 23 წლის და უფროსი ასაკის ოქრო","2017 23 წლის და უფროსი ასაკის ვერცხლი","2017 23 წლის და უფროსი ასაკის ბრინჯაო","2018 16 წლამდე ოქრო","2018 16 წლამდე ვერცხლი","2018 16 წლამდე ბრინჯაო","2018 16-22 წლის ოქრო","2018 16-22 წლის ვერცხლი","2018 16-22 წლის ბრინჯაო","2018 23 წლის და უფროსი ასაკის ოქრო","2018 23 წლის და უფროსი ასაკის ვერცხლი","2018 23 წლის და უფროსი ასაკის ბრინჯაო","2019 16 წლამდე ოქრო","2019 16 წლამდე ვერცხლი","2019 16 წლამდე ბრინჯაო","2019 16-22 წლის ოქრო","2019 16-22 წლის ვერცხლი","2019 16-22 წლის ბრინჯაო","2019 23 წლის და უფროსი ასაკის ოქრო","2019 23 წლის და უფროსი ასაკის ვერცხლი","2019 23 წლის და უფროსი ასაკის ბრინჯაო","2020 16 წლამდე ოქრო","2020 16 წლამდე ვერცხლი","2020 16 წლამდე ბრინჯაო","2020 16-22 წლის ოქრო","2020 16-22 წლის ვერცხლი","2020 16-22 წლის ბრინჯაო","2020 23 წლის და უფროსი ასაკის ოქრო","2020 23 წლის და უფროსი ასაკის ვერცხლი","2020 23 წლის და უფროსი ასაკის ბრინჯაო","2021 16 წლამდე ოქრო","2021 16 წლამდე ვერცხლი","2021 16 წლამდე ბრინჯაო","2021 16-22 წლის ოქრო","2021 16-22 წლის ვერცხლი","2021 16-22 წლის ბრინჯაო","2021 23 წლის და უფროსი ასაკის ოქრო","2021 23 წლის და უფროსი ასაკის ვერცხლი","2021 23 წლის და უფროსი ასაკის ბრინჯაო","2022 16 წლამდე ოქრო","2022 16 წლამდე ვერცხლი","2022 16 წლამდე ბრინჯაო","2022 16-22 წლის ოქრო","2022 16-22 წლის ვერცხლი","2022 16-22 წლის ბრინჯაო","2022 23 წლის და უფროსი ასაკის ოქრო","2022 23 წლის და უფროსი ასაკის ვერცხლი","2022 23 წლის და უფროსი ასაკის ბრინჯაო"
"სპორტსმენების მიერ აღებული მედლების რაოდენობა, სულ",29,14,19,24,29,25,61,56,79,17,15,25,22,26,29,83,57,85,30,24,23,42,37,32,82,55,60,42,29,27,36,35,37,83,87,74,7,5,10,-,-,-,7,3,4,4,1,2,13,12,11,10,5,13,13,20,18,8,11,9,59,32,32
"მსოფლიო ჩემპიონატი",10,3,7,10,7,7,20,21,21,5,2,7,3,8,8,20,16,23,6,5,14,9,10,11,33,12,17,19,16,11,11,7,14,31,36,18,1,-,1,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,2,2,2,8,7,37,19,22
"ევროპის ჩემპიონატი",15,8,9,12,16,14,27,22,29,9,12,18,15,16,19,33,23,35,10,13,7,20,23,17,33,31,28,16,11,10,23,23,19,38,38,26,-,-,-,-,-,-,2,3,1,4,1,2,11,12,7,5,4,8,3,4,2,6,3,2,8,3,5
"საერთაშორისო ტურნირი",4,3,3,2,6,4,14,13,29,3,1,-,4,2,2,30,18,27,14,6,2,13,4,4,16,12,14,7,2,6,2,5,4,14,13,30,6,5,9,-,-,-,5,-,3,-,-,-,-,-,2,3,1,5,10,14,14,-,-,-,14,10,5
"საჭადრაკო ოლიმპიადა",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"  მათ შორის ქალების მიერ, სულ",-,-,-,1,-,-,10,10,13,1,-,5,5,2,6,9,5,10,4,4,6,5,6,8,9,9,10,5,6,1,-,3,2,8,9,8,3,-,1,-,-,-,2,-,-,-,-,-,-,-,-,1,1,1,2,3,5,1,2,-,10,6,8
" მსოფლიოს ჩემპიონატი",-,-,-,-,-,-,2,3,4,-,-,1,-,1,2,2,3,5,-,-,5,-,2,4,5,1,4,3,5,-,-,1,2,3,4,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,2,6
" ევროპის ჩემპიონატი",-,-,-,1,-,-,4,2,6,-,-,4,4,1,3,6,2,4,-,1,1,-,4,2,2,4,4,2,1,1,-,2,-,3,3,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,1,-,-,-,1,1,-,2,2,2
" საერთაშორისო ტურნირი",-,-,-,-,-,-,4,5,3,1,-,-,1,-,1,1,-,1,4,3,-,5,-,2,2,4,1,-,-,-,-,-,-,2,2,3,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,3,5,-,-,-,4,2,-
" საჭადრაკო ოლიმპიადა",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"  მათ შორის კაცების მიერ, სულ",29,14,19,23,29,25,51,46,66,16,15,20,17,24,23,74,52,75,26,20,17,37,31,24,73,46,50,37,23,26,36,32,35,75,78,66,4,5,9,-,-,-,5,3,4,4,1,2,13,12,11,9,4,12,11,17,13,7,9,9,49,26,24
" მსოფლიოს  ჩემპიონატი",10,3,7,10,7,7,18,18,17,5,2,6,3,7,6,18,13,18,6,5,9,9,8,7,28,11,13,16,11,11,11,6,12,28,32,16,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,2,2,2,7,7,33,17,16
" ევროპის  ჩემპიონატი",15,8,9,11,16,14,23,20,23,9,12,14,11,15,16,27,21,31,10,12,6,20,19,15,31,27,24,14,10,9,23,21,19,35,35,23,-,-,-,-,-,-,1,3,1,4,1,2,11,12,7,4,3,7,3,4,2,5,2,2,6,1,3
" საერთაშორისო  ტურნირი",4,3,3,2,6,4,10,8,26,2,1,-,3,2,1,29,18,26,10,3,2,8,4,2,14,8,13,7,2,6,2,5,4,12,11,27,4,5,9,-,-,-,4,-,3,-,-,-,-,-,2,3,1,5,8,11,9,-,-,-,10,8,5
" საჭადრაკო  ოლიმპიადა",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
